creative_type_id,xsi_type
1,ImageCreative
2,RedirectCreative
3,HTMLCreative
4,InternalRedirectCreative
5,HTMLInterstitialCreative
6,InterstitialInternalRedirectCreative
7,TrackingTextCreative
8,TrackingImageCreative
9,TrackingHTMLCreative
24,FlashInpageCreative
13,RichMediaInPageCreative
14,RichMediaInPageWithFloatingCreative
15,RichMediaInPageWithOverlayCreative
16,RichMediaImageWithFloatingCreative
17,RichMediaImageWithOverlayCreative
18,RichMediaExpandingCreative
19,RichMediaFloatingCreative
20,RichMediaOverlayCreative
21,RichMediaFloatingWithReminderCreative
28,RichMediaFlashInFlashCreative
30,MobileDisplayCreative
